ConceptID,Label,TaxonomyID,Dependencies,CIS
243,Full Valve Assembly Selection,SIZE,"239,240,242",1
244,Economic Sizing Optimization,SIZE,"221,201",1
245,Valve Selection Checklist,SIZE,"225,239",38
246,Process Control,CTRL,1,324
247,Control Variable,CTRL,246,166
248,Set Point,CTRL,246,84
249,Error Signal,CTRL,"247,248",83
250,Feedback Control,CTRL,"249,247",82
251,Feedforward Control,CTRL,250,1
252,PID Controller,CTRL,250,72
253,Proportional Control (P),CTRL,252,1
254,Integral Action (I),CTRL,252,1
255,Derivative Action (D),CTRL,252,1
256,PID Tuning,CTRL,252,5
257,Ziegler-Nichols Tuning,CTRL,256,1
258,Lambda Tuning,CTRL,256,1
259,Process Dead Time,CTRL,"246,250",4
260,Process Time Constant,CTRL,246,4
261,Control Loop Response,CTRL,"252,259,260",3
262,Loop Oscillation,CTRL,"261,256",2
263,Valve Hunting,CTRL,"262,166",1
264,Cascade Control,CTRL,"250,252",1
265,Ratio Control,CTRL,250,1
266,Split-Range Control,CTRL,"250,173",1
267,Override Control,CTRL,250,1
268,Model Predictive Control,CTRL,252,3
269,Advanced Process Control,CTRL,"252,268",2
270,Distributed Control System,CTRL,252,46
271,DeltaV DCS,CTRL,270,23
272,DeltaV Controller,CTRL,271,1
273,DeltaV I/O Subsystem,CTRL,271,4
274,DeltaV Electronic Marshalling,CTRL,273,3
275,DeltaV CHARMs I/O,CTRL,274,2
276,DeltaV Smart Commissioning,CTRL,"271,275",1
277,DeltaV Operator Workstation,CTRL,271,3
278,DeltaV Engineering Workstation,CTRL,271,1
279,DeltaV Historian,CTRL,271,1
280,Safety Instrumented System,CTRL,270,22
281,Safety Integrity Level,CTRL,280,6
282,SIL 1 Requirement,CTRL,281,1
283,SIL 2 Requirement,CTRL,281,1
284,SIL 3 Requirement,CTRL,281,1
285,Probability of Failure on Demand,CTRL,281,1
286,DeltaV SIS Logic Solver,CTRL,"280,271",1
287,Safety Function,CTRL,280,1
288,Final Element (SIS),CTRL,"280,146",4
289,SIS Valve Selection,CTRL,"288,178",2
290,Functional Safety Lifecycle,CTRL,280,1
291,Alarm Management,CTRL,"271,277",2
292,DeltaV Alarm Priority,CTRL,291,1
293,FOUNDATION Fieldbus Segment,CTRL,"176,271",1
294,OPC-UA Integration,CTRL,271,1
295,Digital Twin Simulation,CTRL,"271,269",1
296,Pressure Relief Valve,SAFE,"3,46",47
297,Safety Relief Valve,SAFE,296,1
298,Pilot-Operated Relief Valve,SAFE,296,1
299,Set Pressure,SAFE,"296,3,4",11
300,Blowdown,SAFE,"299,296",1
301,Overpressure,SAFE,"299,3",8
302,MAWP,SAFE,301,5
303,Accumulation,SAFE,"301,302",2
304,Relieving Pressure,SAFE,"303,299",1
305,PRV Sizing API 520,SAFE,"296,204",3
306,Orifice Designation,SAFE,305,1
307,Backpressure on PRV,SAFE,"296,18",6
308,Superimposed Backpressure,SAFE,307,1
309,Built-Up Backpressure,SAFE,307,1
310,Conventional PRV,SAFE,"296,307",2
311,Balanced Bellows PRV,SAFE,"310,307",1
312,Safety Rupture Disc,SAFE,"3,296",2
313,Disc + PRV Combination,SAFE,"312,296",1
314,Flame Arrestor,SAFE,,11
315,Deflagration Arrestor,SAFE,314,1
316,Detonation Arrestor,SAFE,314,1
317,End-of-Line Arrestor,SAFE,314,1
318,In-Line Arrestor,SAFE,314,1
319,Flame Arrestor Maintenance,SAFE,314,1
320,Tank Vent,SAFE,"296,314",4
321,Emergency Vent,SAFE,320,1
322,Conservation Vent,SAFE,320,1
323,Tank Hatch,SAFE,320,1
324,Double Block and Bleed,SAFE,"59,58",4
325,Lockout Tagout,SAFE,324,2
326,Valve Isolation Best Practices,SAFE,"324,325",1
327,Pressure Test,SAFE,"296,302",1
328,National Board Certification,SAFE,296,5
329,PRV Testing,SAFE,"296,328",4
330,Pop Test,SAFE,329,1
331,PRV Repair and Remanufacture,SAFE,"296,329",1
332,In-Situ PRV Testing,SAFE,329,1
333,API 576 Inspection,SAFE,296,2
334,SIL Rated Valve,SAFE,"281,289",1
335,Emergency Shut-Off Valve,SAFE,"280,288,58",1
336,Process Measurement,MEAS,246,65
337,Flow Measurement,MEAS,"336,1",22
338,Orifice Plate,MEAS,"337,5",3
339,Venturi Meter,MEAS,"337,15",1
340,Flow Nozzle,MEAS,"337,15",1
341,Pitot Tube,MEAS,"337,15",1
342,Vortex Flowmeter,MEAS,"337,14",2
343,Coriolis Flowmeter,MEAS,"337,6",5
344,Magnetic Flowmeter,MEAS,337,1
345,Ultrasonic Flowmeter,MEAS,337,1
346,Mass Flow Rate,MEAS,"337,6",1
347,Volumetric Flow Rate,MEAS,337,4
348,Flow Transmitter,MEAS,"337,5",1
349,DP Cell,MEAS,"338,5",1
350,Rosemount Flow Products,MEAS,"338,342,343",1
351,Pressure Measurement,MEAS,"336,3",11
352,Pressure Transmitter,MEAS,"351,4",10
353,Gauge Pressure Transmitter,MEAS,"352,4",1
354,Absolute Pressure Transmitter,MEAS,"352,4",1
355,Differential Pressure Transmitter,MEAS,"352,5",1
356,Smart Pressure Transmitter,MEAS,"352,174",2
357,Rosemount 3051 Transmitter,MEAS,356,1
358,Temperature Measurement,MEAS,"336,38",6
359,Thermocouple,MEAS,358,1
360,RTD,MEAS,358,1
361,Temperature Transmitter,MEAS,"358,174",3
362,Level Measurement,MEAS,336,8
363,Differential Pressure Level,MEAS,"362,5",1
364,Guided Wave Radar,MEAS,362,1
365,Non-Contact Radar,MEAS,362,2
366,Displacer Level Gauge,MEAS,362,1
367,Gas Analysis,MEAS,"336,29",5
368,Chromatograph,MEAS,367,1
369,Combustible Gas Detector,MEAS,367,1
370,O2 Analyzer,MEAS,367,1
371,Moisture Analyzer,MEAS,"367,38",1
372,Corrosion Monitoring,MEAS,336,3
373,Erosion Monitoring,MEAS,"336,72",1
374,Vibration Monitoring,MEAS,"33,336",6
375,Acoustic Leak Detection,MEAS,"336,32",1
376,HART Transmitter,MEAS,"174,352",1
377,Fieldbus Transmitter,MEAS,"176,352",1
378,WirelessHART Sensor,MEAS,"177,336",1
379,Tank Gauging,MEAS,362,2
380,Radar Tank Gauge,MEAS,"379,365",1
381,Custody Transfer Measurement,MEAS,"343,347",3
382,Flow Computer,MEAS,381,1
383,AMS Device Manager,MEAS,"174,271",5
384,Field Device Calibration,MEAS,"352,361",2
385,HART Communicator,MEAS,"174,384",1
386,Valve Diagnostics,RELY,"169,179",73
387,Predictive Maintenance,RELY,386,36
388,Condition Monitoring,RELY,"387,374",3
389,Valve Health Monitoring,RELY,"386,387",11
390,Performance Benchmarking,RELY,389,1
391,Packing Wear Indicator,RELY,"114,389",1
392,Valve Stem Friction Analysis,RELY,"179,114,386",4
393,Actuator Diagnostics,RELY,"200,386",1
394,Valve Failure Modes,RELY,386,20
395,Valve Failure Analysis,RELY,394,7
396,MTBF,RELY,394,10
397,Reliability-Centered Maintenance,RELY,"387,396",2
398,Asset Performance Management,RELY,"387,383",2
399,Emerson AMS Machinery Health,RELY,"383,374,398",1
400,Vibration Analysis,RELY,"374,388",1
401,Lube Oil Analysis,RELY,388,1
402,Valve PM Schedule,RELY,387,17
403,Repair vs Replace Decision,RELY,"395,396",6
404,Mean Time to Repair,RELY,"394,402",1
405,OEE — Overall Equipment Effectiveness,RELY,"397,396",1
406,Shutdown Planning,RELY,402,10
407,Plant Asset Review,RELY,"389,406",6
408,Digital Valve Signature,RELY,"179,392",3
409,Online Diagnostics,RELY,"408,169",2
410,AMS SNAP-ON Applications,RELY,"383,409",1
411,ISO 14224 Failure Taxonomy,RELY,394,1
412,Corrosion Control Strategy,RELY,"372,78",1
413,Turnaround Support Services,RELY,"406,407",2
414,Emergency Response,RELY,406,1
415,Spare Parts Strategy,RELY,"402,403",1
416,API Standards,STND,,7
417,API 6D Pipeline Valves,STND,"416,58,59",2
418,API 598 Valve Testing,STND,"416,99",1
419,API 520 PRV Sizing,STND,"416,305",1
420,API 521 Pressure Relief,STND,"416,296",1
421,API 576 PRV Inspection,STND,"416,333",1
422,ASME Standards,STND,,4
423,ASME B16.34 Valve Pressure,STND,"422,84",1
424,ASME Section VIII Pressure,STND,"422,302",1
425,ASME B16.10 Face-to-Face,STND,"422,85",1
426,ISA Standards,STND,,4
427,ISA-75.01 Valve Sizing,STND,"426,203",1
428,ISA-75.05 Control Valve Terminology,STND,"426,101",1
429,ISA-84 Safety Systems,STND,"426,280",1
430,IEC Standards,STND,,6
431,IEC 60534 Control Valves,STND,"430,208",2
432,IEC 61508 Functional Safety,STND,"430,280",2
433,IEC 61511 Process Safety,STND,"430,432",1
434,NFPA Standards,STND,,2
435,NFPA 72 Fire Detection,STND,434,1
436,NACE Corrosion Standards,STND,"372,78",1
437,FM Global Standards,STND,314,1
438,ATEX Directive,STND,197,1
439,NEC Hazardous Locations,STND,"159,197",1
440,OSHA Process Safety Management,STND,280,3
441,PHA / HAZOP Process,STND,"280,440",1
442,Management of Change,STND,440,1
443,Environmental Regulations,STND,,3
444,Fugitive Emissions Standard,STND,"443,114",2
445,ISO 15848 Fugitive Emissions,STND,"444,431",1
446,Oil & Gas Upstream,APPL,"1,18,68,71",5
447,Wellhead Applications,APPL,"446,71",1
448,Production Separator,APPL,"446,73",1
449,Gas Lift Control,APPL,"446,74",1
450,Oil & Gas Midstream,APPL,"1,18,59",4
451,Pipeline Isolation,APPL,"450,59,417",1
452,Pipeline Pressure Control,APPL,"450,73,74",1
453,Metering Stations,APPL,"450,381",1
454,Refining Applications,APPL,"1,46,252",5
455,Crude Distillation,APPL,"454,46",1
456,Hydroprocessing,APPL,"454,46,123",1
457,Fluidized Catalytic Cracking,APPL,"454,68",1
458,Power Generation,APPL,"39,40,46",4
459,Steam Turbine Control,APPL,"458,40,206",1
460,Boiler Feed Water Control,APPL,"458,204",1
461,Chemical Processing,APPL,"1,46,252",3
462,Reactor Control Valves,APPL,"461,80",1
463,Toxic Service Valves,APPL,"461,121",1
464,Life Sciences,APPL,"46,80",5
465,Sanitary Valve Applications,APPL,"464,63",2
466,Clean-In-Place Systems,APPL,"464,74",1
467,Water Treatment,APPL,"46,204",1
468,HVAC Applications,APPL,"55,204",1
469,Mining and Minerals,APPL,"46,72",1
470,Food and Beverage,APPL,"464,465,63",1
471,Sales Engineering Process,SELL,"225,245",37
472,Customer Application Interview,SELL,"471,225",6
473,Value Selling,SELL,471,13
474,Total Cost of Ownership,SELL,"473,403,402",4
475,ROI Calculation,SELL,474,1
476,Competitive Differentiation,SELL,471,10
477,Applied Control Value Proposition,SELL,"476,473",6
478,Emerson Impact Partner Role,SELL,477,2
479,Solution Selling,SELL,"473,477",2
480,Industry Pain Points,SELL,"472,446,454,458",1
481,Application Questionnaire,SELL,"472,225,215",4
482,Valve Specification Writing,SELL,"225,226,481",3
483,Bid Package Response,SELL,"482,471",2
484,Valve Performance Guarantee,SELL,"483,476",1
485,Customer Training Programs,SELL,471,1
486,Plant Walk-Through Audit,SELL,"407,471",3
487,Installed Base Review,SELL,"486,389",2
488,Upgrade and Retrofit Selling,SELL,"487,474,476",1
489,After-Sales Service Value,SELL,"413,474,479",1
490,Subject Matter Expert Role,SELL,"471,476,477,478",1
